Age,Attrition,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
18,Yes,Non-Travel,Research & Development,5,Human Resources,Male,3,Research Director,3,Single,16911,No,3,37,6,3,20,6
40,No,Travel_Rarely,Sales,4,Technical Degree,Male,3,Sales Executive,2,Divorced,16448,No,3,29,3,4,29,16
56,No,Travel_Rarely,Research & Development,5,Human Resources,Male,1,Research Director,4,Married,11635,Yes,3,20,1,1,20,13
34,No,Travel_Rarely,Sales,4,Human Resources,Male,1,Sales Representative,1,Single,10630,No,3,20,1,4,8,6
51,No,Travel_Rarely,Sales,4,Life Sciences,Male,2,Sales Executive,4,Single,13936,No,3,30,0,1,16,2
58,No,Travel_Rarely,Research & Development,5,Marketing,Male,4,Healthcare Representative,3,Married,19175,No,3,21,4,2,4,4
46,No,Travel_Rarely,Research & Development,5,Technical Degree,Female,1,Healthcare Representative,1,Divorced,11074,No,3,30,0,4,30,19
26,No,Travel_Rarely,Research & Development,2,Medical,Female,1,Laboratory Technician,2,Married,11886,No,3,39,6,1,39,1
30,No,Travel_Rarely,Sales,5,Human Resources,Female,2,Sales Executive,4,Married,13873,No,3,37,0,1,37,16
23,No,Non-Travel,Research & Development,2,Human Resources,Male,2,Healthcare Representative,1,Married,11755,Yes,3,18,5,3,18,11
23,No,Travel_Rarely,Research & Development,2,Other,Male,5,Research Scientist,1,Single,20000,No,3,37,3,4,35,11
37,No,Travel_Rarely,Sales,2,Human Resources,Female,3,Manager,3,Divorced,14996,Yes,3,32,5,4,32,16
20,No,Travel_Frequently,Research & Development,4,Marketing,Male,4,Healthcare Representative,3,Married,20000,No,3,30,3,2,12,9
34,No,Travel_Frequently,Sales,4,Medical,Male,5,Sales Representative,4,Married,19000,Yes,3,36,5,1,13,2
29,No,Travel_Rarely,Sales,5,Other,Male,1,Sales Representative,2,Married,13184,No,3,32,1,3,32,19
18,No,Travel_Rarely,Human Resources,4,Life Sciences,Male,2,Manager,1,Married,12080,Yes,3,30,3,1,28,17
34,No,Travel_Rarely,Human Resources,5,Technical Degree,Male,3,Human Resources,3,Married,17112,No,3,35,3,1,35,12
20,Yes,Travel_Rarely,Research & Development,4,Marketing,Male,5,Research Director,4,Single,20000,No,3,13,5,1,9,9
43,No,Travel_Rarely,Sales,1,Medical,Male,3,Sales Representative,3,Married,15936,No,4,30,2,4,30,16
32,Yes,Travel_Rarely,Sales,1,Technical Degree,Male,2,Sales Representative,4,Divorced,11859,No,3,15,1,1,5,3
53,Yes,Travel_Rarely,Research & Development,5,Life Sciences,Female,5,Research Scientist,3,Married,18286,No,3,24,6,2,0,0
49,No,Travel_Rarely,Research & Development,4,Technical Degree,Female,5,Research Scientist,2,Single,19894,No,3,38,1,3,6,6
49,No,Travel_Rarely,Sales,4,Other,Female,3,Manager,1,Divorced,15967,No,3,26,6,3,26,5
21,No,Travel_Rarely,Research & Development,2,Human Resources,Female,2,Research Scientist,3,Single,13738,No,3,37,2,1,20,5
35,No,Travel_Rarely,Sales,3,Human Resources,Female,1,Sales Representative,1,Single,11558,No,3,38,5,3,27,8
36,No,Travel_Rarely,Human Resources,5,Marketing,Male,5,Manager,4,Single,17600,No,3,33,5,1,15,14
52,No,Travel_Rarely,Sales,3,Technical Degree,Male,1,Sales Executive,2,Married,13390,Yes,3,39,1,4,22,1
57,No,Travel_Rarely,Research & Development,3,Human Resources,Male,2,Research Scientist,1,Married,14179,No,3,24,5,3,19,3
31,No,Travel_Rarely,Sales,5,Marketing,Female,5,Manager,3,Married,19000,Yes,3,37,4,4,37,4
50,No,Travel_Rarely,Research & Development,4,Marketing,Female,5,Research Scientist,1,Married,20000,No,3,24,4,4,24,16
31,Yes,Non-Travel,Research & Development,5,Other,Male,1,Research Director,1,Single,12504,No,3,27,6,2,27,7
51,No,Travel_Rarely,Sales,3,Marketing,Female,4,Sales Executive,4,Divorced,13690,No,3,12,2,2,4,4
21,No,Travel_Rarely,Human Resources,4,Life Sciences,Male,1,Human Resources,2,Single,10740,Yes,3,36,3,3,20,11
41,Yes,Travel_Rarely,Research & Development,1,Human Resources,Female,1,Research Scientist,2,Divorced,10120,Yes,3,26,4,1,17,7
46,Yes,Travel_Rarely,Human Resources,5,Human Resources,Male,4,Human Resources,1,Married,17600,No,3,33,6,1,5,5
36,No,Non-Travel,Human Resources,5,Medical,Male,2,Manager,1,Married,12337,No,3,28,5,1,28,2
23,No,Travel_Rarely,Research & Development,4,Life Sciences,Male,2,Laboratory Technician,4,Married,12917,No,3,18,2,1,18,17
50,No,Non-Travel,Human Resources,1,Human Resources,Male,5,Manager,1,Married,17600,No,3,32,6,2,32,18
57,Yes,Travel_Rarely,Sales,1,Other,Male,3,Sales Representative,4,Single,16682,No,3,29,6,1,0,0
36,No,Travel_Rarely,Sales,4,Human Resources,Male,3,Sales Executive,2,Divorced,11944,Yes,3,4,4,1,2,2
18,No,Travel_Rarely,Sales,2,Medical,Female,5,Manager,2,Single,18235,No,3,20,0,4,20,5
22,No,Travel_Rarely,Sales,5,Technical Degree,Male,3,Sales Executive,4,Single,17113,Yes,3,34,2,1,34,15
44,No,Travel_Rarely,Research & Development,5,Technical Degree,Male,1,Laboratory Technician,1,Married,13511,No,3,39,1,1,39,7
33,No,Travel_Rarely,Sales,3,Life Sciences,Female,1,Manager,2,Married,10115,Yes,3,31,6,2,2,2
23,No,Travel_Rarely,Research & Development,4,Marketing,Female,4,Research Director,3,Single,17132,No,3,24,4,3,24,17
57,No,Non-Travel,Research & Development,3,Medical,Male,4,Laboratory Technician,4,Divorced,20000,Yes,3,37,1,4,37,19
30,No,Travel_Rarely,Sales,3,Medical,Male,5,Sales Executive,2,Divorced,19000,No,3,19,2,4,19,15
52,No,Travel_Frequently,Research & Development,1,Human Resources,Male,5,Research Director,2,Married,20000,Yes,3,33,4,3,33,10
36,No,Travel_Rarely,Sales,5,Other,Male,5,Manager,2,Married,19000,No,3,30,1,4,20,6
29,Yes,Travel_Rarely,Research & Development,3,Human Resources,Female,1,Laboratory Technician,3,Married,10750,No,3,26,3,1,22,16
33,No,Travel_Rarely,Sales,1,Other,Male,3,Manager,3,Married,16670,Yes,4,32,6,1,5,5
27,No,Travel_Rarely,Human Resources,4,Medical,Male,5,Human Resources,3,Married,17600,No,3,28,3,3,12,11
42,No,Travel_Rarely,Research & Development,3,Marketing,Female,5,Research Director,1,Divorced,19127,No,3,22,0,2,22,12
37,Yes,Travel_Rarely,Sales,5,Technical Degree,Male,1,Sales Executive,4,Divorced,12608,Yes,3,32,5,2,8,8
48,No,Travel_Rarely,Sales,3,Life Sciences,Male,1,Sales Executive,1,Divorced,10366,Yes,3,18,2,4,16,6
21,Yes,Travel_Rarely,Research & Development,4,Other,Male,1,Laboratory Technician,3,Single,11825,No,3,20,5,2,1,1
40,No,Travel_Rarely,Research & Development,3,Technical Degree,Female,3,Research Scientist,4,Single,14726,Yes,3,20,5,2,18,0
19,No,Travel_Frequently,Research & Development,5,Life Sciences,Male,5,Research Director,1,Single,20000,Yes,3,24,1,2,18,16
39,No,Travel_Rarely,Research & Development,1,Marketing,Female,2,Research Scientist,1,Married,11928,Yes,3,22,0,2,6,3
54,No,Travel_Rarely,Sales,5,Medical,Male,2,Manager,1,Single,11497,No,3,19,2,2,19,4
25,Yes,Travel_Rarely,Research & Development,1,Marketing,Male,5,Research Director,3,Married,20000,No,3,32,3,2,8,8
24,No,Non-Travel,Sales,2,Other,Female,5,Sales Executive,2,Married,18816,Yes,3,19,5,2,16,6
31,No,Travel_Rarely,Human Resources,5,Medical,Female,5,Human Resources,4,Married,17076,No,3,26,1,4,26,9
20,No,Travel_Rarely,Research & Development,5,Human Resources,Female,5,Research Scientist,3,Married,19827,No,3,25,5,1,1,1
33,No,Travel_Rarely,Sales,4,Life Sciences,Female,3,Sales Executive,4,Divorced,17812,Yes,3,39,4,2,35,6
36,No,Travel_Rarely,Sales,3,Human Resources,Female,2,Sales Representative,3,Single,10888,Yes,3,18,3,1,18,0
35,No,Travel_Rarely,Sales,1,Medical,Male,4,Sales Executive,1,Single,18972,No,3,31,5,3,16,6
33,No,Travel_Frequently,Sales,1,Life Sciences,Male,2,Sales Representative,1,Divorced,12392,No,3,32,4,1,4,4
25,No,Travel_Rarely,Research & Development,4,Life Sciences,Female,2,Research Director,2,Married,13152,No,3,38,4,3,38,8
50,No,Non-Travel,Research & Development,4,Human Resources,Male,1,Laboratory Technician,2,Married,11594,No,3,17,1,4,17,11
29,No,Travel_Rarely,Human Resources,3,Life Sciences,Female,5,Manager,4,Single,16210,No,3,14,1,1,6,2
28,Yes,Travel_Rarely,Research & Development,3,Medical,Female,5,Research Director,2,Single,18779,Yes,3,16,4,3,16,3
22,No,Travel_Rarely,Sales,5,Other,Male,5,Sales Representative,2,Married,19000,No,3,38,0,1,38,3
44,Yes,Travel_Rarely,Research & Development,2,Other,Male,1,Laboratory Technician,4,Divorced,12778,No,3,35,5,4,35,12
29,No,Travel_Rarely,Research & Development,3,Medical,Female,3,Research Director,3,Divorced,17677,No,3,39,4,1,39,18
34,No,Travel_Rarely,Research & Development,4,Human Resources,Male,3,Laboratory Technician,2,Married,15768,No,4,17,4,3,3,3
23,No,Travel_Rarely,Research & Development,3,Marketing,Female,4,Research Director,3,Married,19252,Yes,3,37,1,2,37,4
50,No,Travel_Frequently,Research & Development,1,Medical,Male,3,Research Scientist,1,Divorced,17638,No,3,34,5,2,24,6
22,No,Travel_Rarely,Research & Development,2,Other,Female,3,Research Director,2,Married,13571,No,3,21,2,2,4,4
45,Yes,Travel_Frequently,Research & Development,5,Medical,Male,5,Laboratory Technician,1,Married,20000,No,3,33,3,4,29,0
31,No,Travel_Rarely,Sales,1,Life Sciences,Female,2,Sales Executive,1,Divorced,10217,Yes,3,11,1,2,11,11
22,No,Travel_Rarely,Sales,1,Life Sciences,Male,3,Sales Representative,3,Divorced,14636,No,4,17,5,4,3,1
50,No,Travel_Rarely,Sales,2,Medical,Male,3,Sales Executive,4,Divorced,14731,Yes,3,25,5,2,23,6
58,No,Travel_Frequently,Research & Development,5,Human Resources,Male,1,Research Director,2,Single,12551,Yes,4,28,6,4,28,10
36,No,Travel_Rarely,Sales,4,Marketing,Female,4,Sales Executive,3,Married,16206,Yes,3,32,0,4,8,8
39,No,Travel_Rarely,Research & Development,5,Life Sciences,Female,1,Research Scientist,4,Divorced,10042,No,3,13,3,1,3,1
22,Yes,Travel_Rarely,Human Resources,3,Other,Male,5,Human Resources,1,Single,17600,Yes,3,30,1,2,23,6
19,No,Travel_Rarely,Sales,1,Life Sciences,Male,2,Sales Representative,2,Divorced,10696,No,3,13,1,1,13,13
47,No,Travel_Rarely,Research & Development,3,Other,Male,4,Research Scientist,1,Single,19223,Yes,3,23,2,3,4,4
56,No,Travel_Rarely,Research & Development,4,Marketing,Female,1,Research Director,1,Divorced,8746,Yes,3,20,6,2,17,1
21,No,Travel_Rarely,Sales,3,Life Sciences,Female,3,Manager,2,Married,12996,No,3,18,6,2,18,6
50,No,Non-Travel,Sales,5,Human Resources,Male,3,Manager,4,Single,16949,Yes,3,31,0,2,11,3
30,No,Travel_Rarely,Sales,3,Other,Male,4,Sales Executive,4,Married,18403,No,3,30,6,2,17,10
37,No,Travel_Rarely,Sales,4,Life Sciences,Male,3,Manager,2,Married,16540,No,3,33,0,1,16,1
24,No,Travel_Rarely,Human Resources,4,Life Sciences,Male,1,Manager,2,Married,10280,No,3,29,5,1,29,15
32,No,Travel_Rarely,Research & Development,4,Medical,Male,1,Laboratory Technician,3,Married,11726,No,3,24,5,4,23,6
40,No,Travel_Rarely,Research & Development,5,Human Resources,Female,3,Research Director,3,Divorced,12625,No,3,10,1,1,10,10
31,No,Travel_Rarely,Human Resources,4,Human Resources,Male,3,Manager,1,Married,15954,No,3,34,2,4,34,4
40,No,Travel_Rarely,Research & Development,1,Medical,Female,5,Healthcare Representative,2,Married,17797,Yes,3,22,1,3,22,16
36,No,Travel_Rarely,Sales,4,Other,Male,2,Sales Executive,4,Single,11790,No,3,16,6,1,16,11
46,No,Travel_Rarely,Human Resources,3,Technical Degree,Male,4,Manager,1,Divorced,15143,No,3,13,4,4,0,0
37,No,Non-Travel,Research & Development,3,Marketing,Female,1,Research Director,1,Single,8922,Yes,4,14,5,2,14,6
46,Yes,Travel_Rarely,Research & Development,3,Human Resources,Female,4,Healthcare Representative,1,Married,19628,Yes,3,31,4,3,31,5
41,No,Travel_Rarely,Human Resources,5,Technical Degree,Female,5,Manager,1,Divorced,16062,Yes,3,8,6,4,8,7
35,No,Travel_Rarely,Sales,3,Other,Male,1,Sales Executive,4,Single,11863,No,3,27,2,3,14,12
27,No,Non-Travel,Sales,5,Marketing,Male,5,Sales Executive,1,Married,19000,No,4,37,1,2,27,4
58,Yes,Travel_Frequently,Sales,5,Human Resources,Female,5,Manager,2,Single,17347,No,3,23,5,2,23,1
25,No,Travel_Rarely,Research & Development,4,Life Sciences,Male,3,Healthcare Representative,3,Married,16820,No,3,35,2,4,34,8
43,No,Travel_Rarely,Research & Development,1,Human Resources,Male,4,Laboratory Technician,4,Married,17656,No,4,21,1,4,21,10
46,No,Travel_Rarely,Human Resources,4,Marketing,Male,4,Manager,2,Divorced,17172,No,4,26,1,2,26,5
27,No,Travel_Rarely,Sales,4,Technical Degree,Male,3,Sales Representative,2,Divorced,15259,Yes,4,18,4,4,18,6
34,No,Travel_Rarely,Research & Development,5,Life Sciences,Female,4,Research Director,2,Married,17628,No,3,25,3,2,11,6
19,No,Travel_Rarely,Research & Development,5,Marketing,Male,3,Research Scientist,3,Married,17300,No,3,24,6,1,19,18
23,No,Travel_Rarely,Sales,3,Other,Male,1,Manager,3,Married,9366,No,3,9,0,4,0,0
22,Yes,Travel_Rarely,Sales,3,Marketing,Male,5,Sales Executive,3,Married,18896,No,3,20,5,3,20,10
45,No,Travel_Rarely,Sales,4,Human Resources,Male,5,Sales Executive,2,Married,18596,No,3,11,0,2,0,0
58,No,Travel_Rarely,Human Resources,2,Other,Male,4,Manager,3,Divorced,13508,Yes,3,9,2,1,9,6
22,No,Travel_Rarely,Sales,2,Medical,Male,2,Sales Executive,1,Married,14042,No,3,31,0,4,31,1
35,No,Travel_Rarely,Research & Development,3,Medical,Male,5,Laboratory Technician,3,Single,20000,No,3,38,4,2,38,18
43,No,Travel_Rarely,Research & Development,2,Life Sciences,Female,3,Laboratory Technician,4,Married,15945,No,3,39,3,1,21,3
37,No,Travel_Frequently,Research & Development,3,Marketing,Male,2,Healthcare Representative,2,Married,15450,Yes,3,32,5,4,17,5
58,No,Non-Travel,Human Resources,5,Technical Degree,Male,2,Human Resources,2,Single,14246,Yes,3,31,6,2,31,16
44,No,Travel_Rarely,Human Resources,4,Life Sciences,Female,5,Manager,1,Married,16095,No,3,26,1,2,26,4
29,Yes,Travel_Rarely,Sales,1,Other,Female,5,Sales Executive,3,Married,18667,Yes,3,30,1,2,27,6
24,No,Travel_Rarely,Research & Development,4,Life Sciences,Male,5,Healthcare Representative,3,Married,20000,Yes,3,17,6,4,17,8
20,No,Travel_Rarely,Sales,3,Human Resources,Male,3,Sales Executive,4,Married,17673,No,4,38,4,1,38,0
27,No,Travel_Rarely,Sales,3,Other,Male,2,Manager,1,Married,14142,No,3,34,5,2,28,0
51,No,Non-Travel,Sales,4,Technical Degree,Female,4,Sales Executive,4,Divorced,15911,No,3,17,0,1,17,17
42,No,Travel_Rarely,Research & Development,3,Marketing,Female,3,Research Director,4,Divorced,14423,No,3,20,6,1,7,5
52,No,Non-Travel,Research & Development,2,Other,Female,1,Healthcare Representative,2,Married,10556,No,3,30,1,3,30,17
33,No,Travel_Rarely,Sales,2,Marketing,Male,5,Manager,2,Single,19000,Yes,3,37,0,1,33,9
19,No,Non-Travel,Sales,3,Marketing,Female,2,Sales Executive,3,Divorced,9253,No,3,8,4,1,6,6
41,No,Non-Travel,Human Resources,3,Life Sciences,Male,3,Manager,3,Married,14214,No,3,35,1,1,35,0
27,No,Non-Travel,Sales,2,Human Resources,Male,1,Sales Representative,4,Married,9116,No,4,17,2,1,17,0
55,No,Travel_Rarely,Sales,3,Life Sciences,Male,3,Sales Executive,3,Single,18192,No,3,37,3,1,37,12
39,No,Travel_Rarely,Research & Development,3,Medical,Female,3,Research Scientist,4,Single,11987,No,3,8,0,4,8,4
43,No,Travel_Frequently,Human Resources,4,Medical,Male,4,Manager,3,Single,17176,No,3,30,6,3,8,8
56,No,Non-Travel,Sales,1,Marketing,Female,4,Manager,3,Single,15395,Yes,3,23,5,2,7,0
44,No,Travel_Rarely,Research & Development,2,Human Resources,Male,3,Laboratory Technician,2,Divorced,17989,No,3,34,0,3,34,19
46,No,Travel_Rarely,Research & Development,4,Other,Male,1,Research Director,2,Married,13313,No,3,29,0,3,17,2
55,No,Travel_Rarely,Sales,1,Marketing,Male,2,Sales Executive,2,Married,13385,No,3,33,0,2,4,4
37,Yes,Travel_Rarely,Research & Development,3,Other,Male,2,Healthcare Representative,2,Divorced,15308,No,3,37,6,1,13,8
44,No,Travel_Rarely,Research & Development,3,Marketing,Female,5,Research Director,1,Divorced,20000,Yes,3,27,4,2,27,13
58,No,Travel_Rarely,Research & Development,4,Life Sciences,Male,5,Research Director,2,Divorced,20000,No,3,29,4,1,29,16
37,No,Travel_Rarely,Research & Development,3,Marketing,Female,2,Research Scientist,1,Divorced,12296,No,4,18,5,2,3,3
36,No,Non-Travel,Research & Development,5,Marketing,Female,3,Research Director,2,Married,18295,No,3,38,4,4,38,3
37,Yes,Travel_Rarely,Sales,4,Human Resources,Female,3,Sales Executive,3,Divorced,14018,Yes,3,27,6,3,19,4
52,No,Travel_Rarely,Research & Development,1,Human Resources,Male,4,Research Director,4,Married,19661,No,3,25,5,1,24,16
19,No,Travel_Rarely,Sales,4,Other,Male,4,Sales Representative,3,Single,18179,No,4,27,5,3,27,1
47,No,Travel_Rarely,Sales,2,Human Resources,Male,5,Sales Executive,3,Married,19000,No,3,29,4,1,11,4
51,Yes,Travel_Rarely,Sales,4,Marketing,Female,2,Sales Representative,1,Married,9429,No,3,2,1,2,1,1
39,No,Travel_Rarely,Research & Development,3,Human Resources,Female,3,Research Director,2,Divorced,16664,No,3,27,4,2,13,3
20,No,Travel_Rarely,Research & Development,3,Human Resources,Male,2,Laboratory Technician,4,Married,14518,No,3,32,1,2,21,5
23,No,Travel_Rarely,Sales,5,Technical Degree,Female,1,Sales Representative,4,Married,9909,No,3,30,2,4,30,19
32,No,Travel_Rarely,Research & Development,5,Technical Degree,Male,2,Laboratory Technician,2,Single,14820,No,3,22,4,2,22,12
44,No,Travel_Rarely,Sales,5,Medical,Female,1,Manager,1,Married,9802,No,3,19,2,2,19,4
27,No,Non-Travel,Research & Development,1,Life Sciences,Male,4,Research Scientist,1,Single,19416,No,3,37,4,4,37,6
26,No,Travel_Rarely,Sales,5,Life Sciences,Female,4,Manager,1,Married,18311,No,3,37,2,3,3,3
50,No,Travel_Rarely,Research & Development,1,Human Resources,Male,5,Research Director,4,Divorced,19763,No,3,14,3,3,14,0
49,No,Travel_Rarely,Research & Development,5,Medical,Female,2,Research Director,1,Single,11323,Yes,3,23,2,1,23,13
23,No,Travel_Frequently,Human Resources,1,Medical,Female,2,Human Resources,1,Married,11703,No,3,33,1,3,24,3
58,Yes,Travel_Rarely,Sales,4,Other,Female,1,Manager,4,Single,12413,No,3,36,0,1,0,0
53,No,Non-Travel,Sales,4,Technical Degree,Male,4,Manager,4,Single,17456,No,3,32,5,1,6,6
19,No,Non-Travel,Sales,3,Medical,Male,1,Sales Executive,3,Married,11506,Yes,3,30,2,3,30,15
46,Yes,Non-Travel,Human Resources,1,Marketing,Male,4,Manager,4,Single,15063,Yes,3,28,0,3,11,11
21,No,Travel_Rarely,Human Resources,2,Other,Male,1,Manager,2,Married,8744,Yes,3,24,6,4,4,4
18,Yes,Travel_Rarely,Sales,3,Human Resources,Male,4,Sales Executive,4,Single,19000,Yes,3,37,3,1,37,19
36,No,Travel_Frequently,Research & Development,4,Marketing,Female,1,Research Scientist,4,Single,7421,No,3,11,3,3,11,7
43,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,4,Healthcare Representative,1,Married,20000,Yes,4,38,6,3,38,2
42,Yes,Travel_Rarely,Research & Development,5,Technical Degree,Male,1,Laboratory Technician,3,Married,11441,Yes,3,17,6,4,17,17
27,Yes,Travel_Rarely,Research & Development,2,Marketing,Male,2,Research Scientist,1,Single,16444,Yes,3,37,6,3,1,0
32,No,Travel_Rarely,Sales,4,Human Resources,Male,5,Sales Representative,3,Married,19000,No,3,19,1,2,9,1
39,No,Travel_Rarely,Sales,3,Marketing,Female,1,Sales Representative,1,Divorced,9452,No,3,22,6,2,14,14
38,No,Travel_Rarely,Human Resources,1,Marketing,Male,5,Manager,2,Married,17600,Yes,3,36,1,1,29,9
39,No,Travel_Rarely,Human Resources,2,Medical,Female,2,Manager,1,Single,10120,No,3,16,2,4,16,16
53,No,Travel_Rarely,Research & Development,1,Technical Degree,Male,2,Research Director,1,Married,15790,No,4,36,4,3,3,3
51,No,Travel_Rarely,Sales,5,Life Sciences,Female,4,Sales Representative,2,Married,17479,Yes,3,32,6,1,6,6
47,No,Non-Travel,Sales,3,Human Resources,Female,5,Manager,2,Single,18594,No,3,32,6,3,30,12
42,No,Non-Travel,Research & Development,1,Other,Male,3,Healthcare Representative,4,Divorced,17909,Yes,3,38,3,2,38,0
45,No,Travel_Rarely,Human Resources,4,Other,Female,4,Manager,1,Divorced,16893,No,3,33,0,3,33,4
18,No,Travel_Rarely,Human Resources,3,Human Resources,Male,5,Human Resources,2,Divorced,15446,Yes,3,5,4,3,5,5
21,No,Non-Travel,Research & Development,4,Life Sciences,Female,1,Research Director,2,Divorced,11759,No,3,37,3,3,37,13
24,No,Travel_Rarely,Research & Development,1,Human Resources,Male,1,Healthcare Representative,4,Married,11373,Yes,4,33,2,2,33,2
26,No,Travel_Rarely,Sales,3,Medical,Female,2,Sales Representative,3,Married,11707,No,3,24,6,2,14,14
53,No,Travel_Rarely,Sales,4,Other,Female,3,Manager,2,Married,11623,No,3,16,3,4,13,13
36,No,Travel_Rarely,Human Resources,5,Other,Female,1,Manager,2,Divorced,8378,Yes,3,6,1,2,5,5
18,No,Non-Travel,Research & Development,5,Marketing,Female,5,Healthcare Representative,1,Married,20000,No,3,36,0,1,36,2
27,No,Non-Travel,Sales,1,Medical,Male,5,Sales Executive,4,Married,19000,No,3,31,0,3,31,15
53,No,Non-Travel,Sales,3,Other,Male,1,Sales Representative,1,Married,11906,No,3,39,1,2,2,2
26,No,Travel_Rarely,Research & Development,2,Medical,Male,5,Laboratory Technician,3,Divorced,19756,Yes,3,23,6,1,2,2
59,No,Travel_Rarely,Sales,3,Medical,Male,5,Sales Executive,4,Single,19000,Yes,3,21,6,2,21,11
49,No,Travel_Rarely,Sales,5,Life Sciences,Female,2,Sales Representative,1,Married,12471,No,4,21,4,3,21,10
49,No,Travel_Rarely,Research & Development,4,Other,Male,3,Healthcare Representative,2,Divorced,18273,No,3,31,1,1,9,9
23,Yes,Travel_Frequently,Research & Development,2,Technical Degree,Female,2,Healthcare Representative,2,Married,14656,No,3,39,6,2,2,2
55,No,Travel_Rarely,Research & Development,1,Life Sciences,Female,3,Laboratory Technician,4,Divorced,13311,Yes,3,11,0,2,11,11
34,Yes,Non-Travel,Sales,2,Life Sciences,Female,5,Manager,2,Married,19000,No,3,28,6,1,28,19
27,No,Non-Travel,Research & Development,1,Medical,Male,3,Healthcare Representative,1,Single,14598,No,3,20,2,4,16,10
44,No,Travel_Rarely,Sales,2,Technical Degree,Female,5,Sales Representative,4,Divorced,18363,No,3,23,6,1,6,1
52,No,Travel_Rarely,Sales,1,Life Sciences,Female,5,Sales Executive,2,Single,14942,No,3,16,4,1,12,9
38,No,Non-Travel,Research & Development,1,Technical Degree,Male,2,Laboratory Technician,2,Married,11210,No,3,8,5,1,1,1
42,No,Travel_Rarely,Research & Development,2,Other,Female,2,Healthcare Representative,3,Single,14233,Yes,3,34,3,1,3,3
45,Yes,Travel_Rarely,Research & Development,2,Medical,Female,4,Research Director,3,Single,16541,Yes,3,19,5,2,9,5
32,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,4,Married,12105,No,3,38,2,1,38,3
21,No,Non-Travel,Research & Development,5,Technical Degree,Male,4,Research Director,3,Married,19562,Yes,3,23,5,1,23,11
46,No,Non-Travel,Sales,2,Human Resources,Male,4,Sales Representative,1,Married,16005,No,3,19,6,3,16,10
26,No,Non-Travel,Research & Development,3,Life Sciences,Male,3,Research Director,2,Divorced,16862,No,3,29,4,2,5,5
44,No,Travel_Frequently,Sales,4,Life Sciences,Male,5,Manager,2,Single,19000,No,3,39,0,3,18,4
43,No,Travel_Rarely,Sales,1,Life Sciences,Male,5,Sales Representative,2,Single,17751,No,3,4,0,2,4,4
36,No,Travel_Rarely,Human Resources,1,Technical Degree,Male,5,Human Resources,4,Married,17600,Yes,3,31,2,4,31,0
45,No,Travel_Frequently,Research & Development,4,Marketing,Male,1,Research Scientist,4,Married,10972,No,3,23,5,4,9,5
34,No,Travel_Rarely,Human Resources,5,Other,Female,3,Manager,3,Divorced,13453,No,3,18,4,2,8,8
