Age,Attrition,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,EducationLabel,JobSatisfactionLabel,WorkLifeBalanceLabel,PerformanceLabel,JobLevelLabel
23,No,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,3,Married,7342,No,3,13,5,3,13,13,College,High,Better,Excellent,Junior
18,Yes,Non-Travel,Research & Development,5,Human Resources,Male,3,Research Director,3,Single,16911,No,3,37,6,3,20,6,Doctor,High,Better,Excellent,Senior
40,No,Travel_Rarely,Sales,4,Technical Degree,Male,3,Sales Executive,2,Divorced,16448,No,3,29,3,4,29,16,Master,Medium,Best,Excellent,Senior
56,No,Travel_Rarely,Research & Development,5,Human Resources,Male,1,Research Director,4,Married,11635,Yes,3,20,1,1,20,13,Doctor,Very High,Bad,Excellent,Junior
34,No,Travel_Rarely,Sales,4,Human Resources,Male,1,Sales Representative,1,Single,10630,No,3,20,1,4,8,6,Master,Low,Best,Excellent,Junior
51,No,Travel_Rarely,Sales,4,Life Sciences,Male,2,Sales Executive,4,Single,13936,No,3,30,0,1,16,2,Master,Very High,Bad,Excellent,Mid
58,No,Travel_Rarely,Research & Development,5,Marketing,Male,4,Healthcare Representative,3,Married,19175,No,3,21,4,2,4,4,Doctor,High,Good,Excellent,Lead
46,No,Travel_Rarely,Research & Development,5,Technical Degree,Female,1,Healthcare Representative,1,Divorced,11074,No,3,30,0,4,30,19,Doctor,Low,Best,Excellent,Junior
26,No,Travel_Rarely,Research & Development,2,Medical,Female,1,Laboratory Technician,2,Married,11886,No,3,39,6,1,39,1,College,Medium,Bad,Excellent,Junior
30,No,Travel_Rarely,Sales,5,Human Resources,Female,2,Sales Executive,4,Married,13873,No,3,37,0,1,37,16,Doctor,Very High,Bad,Excellent,Mid
23,No,Non-Travel,Research & Development,2,Human Resources,Male,2,Healthcare Representative,1,Married,11755,Yes,3,18,5,3,18,11,College,Low,Better,Excellent,Mid
23,No,Travel_Rarely,Research & Development,2,Other,Male,5,Research Scientist,1,Single,20000,No,3,37,3,4,35,11,College,Low,Best,Excellent,Executive
37,No,Travel_Rarely,Sales,2,Human Resources,Female,3,Manager,3,Divorced,14996,Yes,3,32,5,4,32,16,College,High,Best,Excellent,Senior
20,No,Travel_Frequently,Research & Development,4,Marketing,Male,4,Healthcare Representative,3,Married,20000,No,3,30,3,2,12,9,Master,High,Good,Excellent,Lead
34,No,Travel_Frequently,Sales,4,Medical,Male,5,Sales Representative,4,Married,19000,Yes,3,36,5,1,13,2,Master,Very High,Bad,Excellent,Executive
29,No,Travel_Rarely,Sales,5,Other,Male,1,Sales Representative,2,Married,13184,No,3,32,1,3,32,19,Doctor,Medium,Better,Excellent,Junior
18,No,Travel_Rarely,Human Resources,4,Life Sciences,Male,2,Manager,1,Married,12080,Yes,3,30,3,1,28,17,Master,Low,Bad,Excellent,Mid
34,No,Travel_Rarely,Human Resources,5,Technical Degree,Male,3,Human Resources,3,Married,17112,No,3,35,3,1,35,12,Doctor,High,Bad,Excellent,Senior
20,Yes,Travel_Rarely,Research & Development,4,Marketing,Male,5,Research Director,4,Single,20000,No,3,13,5,1,9,9,Master,Very High,Bad,Excellent,Executive
43,No,Travel_Rarely,Sales,1,Medical,Male,3,Sales Representative,3,Married,15936,No,4,30,2,4,30,16,Below College,High,Best,Outstanding,Senior
32,Yes,Travel_Rarely,Sales,1,Technical Degree,Male,2,Sales Representative,4,Divorced,11859,No,3,15,1,1,5,3,Below College,Very High,Bad,Excellent,Mid
53,Yes,Travel_Rarely,Research & Development,5,Life Sciences,Female,5,Research Scientist,3,Married,18286,No,3,24,6,2,0,0,Doctor,High,Good,Excellent,Executive
49,No,Travel_Rarely,Research & Development,4,Technical Degree,Female,5,Research Scientist,2,Single,19894,No,3,38,1,3,6,6,Master,Medium,Better,Excellent,Executive
49,No,Travel_Rarely,Sales,4,Other,Female,3,Manager,1,Divorced,15967,No,3,26,6,3,26,5,Master,Low,Better,Excellent,Senior
21,No,Travel_Rarely,Research & Development,2,Human Resources,Female,2,Research Scientist,3,Single,13738,No,3,37,2,1,20,5,College,High,Bad,Excellent,Mid
35,No,Travel_Rarely,Sales,3,Human Resources,Female,1,Sales Representative,1,Single,11558,No,3,38,5,3,27,8,Bachelor,Low,Better,Excellent,Junior
36,No,Travel_Rarely,Human Resources,5,Marketing,Male,5,Manager,4,Single,17600,No,3,33,5,1,15,14,Doctor,Very High,Bad,Excellent,Executive
52,No,Travel_Rarely,Sales,3,Technical Degree,Male,1,Sales Executive,2,Married,13390,Yes,3,39,1,4,22,1,Bachelor,Medium,Best,Excellent,Junior
57,No,Travel_Rarely,Research & Development,3,Human Resources,Male,2,Research Scientist,1,Married,14179,No,3,24,5,3,19,3,Bachelor,Low,Better,Excellent,Mid
31,No,Travel_Rarely,Sales,5,Marketing,Female,5,Manager,3,Married,19000,Yes,3,37,4,4,37,4,Doctor,High,Best,Excellent,Executive
50,No,Travel_Rarely,Research & Development,4,Marketing,Female,5,Research Scientist,1,Married,20000,No,3,24,4,4,24,16,Master,Low,Best,Excellent,Executive
31,Yes,Non-Travel,Research & Development,5,Other,Male,1,Research Director,1,Single,12504,No,3,27,6,2,27,7,Doctor,Low,Good,Excellent,Junior
51,No,Travel_Rarely,Sales,3,Marketing,Female,4,Sales Executive,4,Divorced,13690,No,3,12,2,2,4,4,Bachelor,Very High,Good,Excellent,Lead
21,No,Travel_Rarely,Human Resources,4,Life Sciences,Male,1,Human Resources,2,Single,10740,Yes,3,36,3,3,20,11,Master,Medium,Better,Excellent,Junior
41,Yes,Travel_Rarely,Research & Development,1,Human Resources,Female,1,Research Scientist,2,Divorced,10120,Yes,3,26,4,1,17,7,Below College,Medium,Bad,Excellent,Junior
46,Yes,Travel_Rarely,Human Resources,5,Human Resources,Male,4,Human Resources,1,Married,17600,No,3,33,6,1,5,5,Doctor,Low,Bad,Excellent,Lead
36,No,Non-Travel,Human Resources,5,Medical,Male,2,Manager,1,Married,12337,No,3,28,5,1,28,2,Doctor,Low,Bad,Excellent,Mid
23,No,Travel_Rarely,Research & Development,4,Life Sciences,Male,2,Laboratory Technician,4,Married,12917,No,3,18,2,1,18,17,Master,Very High,Bad,Excellent,Mid
50,No,Non-Travel,Human Resources,1,Human Resources,Male,5,Manager,1,Married,17600,No,3,32,6,2,32,18,Below College,Low,Good,Excellent,Executive
57,Yes,Travel_Rarely,Sales,1,Other,Male,3,Sales Representative,4,Single,16682,No,3,29,6,1,0,0,Below College,Very High,Bad,Excellent,Senior
36,No,Travel_Rarely,Sales,4,Human Resources,Male,3,Sales Executive,2,Divorced,11944,Yes,3,4,4,1,2,2,Master,Medium,Bad,Excellent,Senior
18,No,Travel_Rarely,Sales,2,Medical,Female,5,Manager,2,Single,18235,No,3,20,0,4,20,5,College,Medium,Best,Excellent,Executive
22,No,Travel_Rarely,Sales,5,Technical Degree,Male,3,Sales Executive,4,Single,17113,Yes,3,34,2,1,34,15,Doctor,Very High,Bad,Excellent,Senior
44,No,Travel_Rarely,Research & Development,5,Technical Degree,Male,1,Laboratory Technician,1,Married,13511,No,3,39,1,1,39,7,Doctor,Low,Bad,Excellent,Junior
33,No,Travel_Rarely,Sales,3,Life Sciences,Female,1,Manager,2,Married,10115,Yes,3,31,6,2,2,2,Bachelor,Medium,Good,Excellent,Junior
23,No,Travel_Rarely,Research & Development,4,Marketing,Female,4,Research Director,3,Single,17132,No,3,24,4,3,24,17,Master,High,Better,Excellent,Lead
57,No,Non-Travel,Research & Development,3,Medical,Male,4,Laboratory Technician,4,Divorced,20000,Yes,3,37,1,4,37,19,Bachelor,Very High,Best,Excellent,Lead
30,No,Travel_Rarely,Sales,3,Medical,Male,5,Sales Executive,2,Divorced,19000,No,3,19,2,4,19,15,Bachelor,Medium,Best,Excellent,Executive
52,No,Travel_Frequently,Research & Development,1,Human Resources,Male,5,Research Director,2,Married,20000,Yes,3,33,4,3,33,10,Below College,Medium,Better,Excellent,Executive
36,No,Travel_Rarely,Sales,5,Other,Male,5,Manager,2,Married,19000,No,3,30,1,4,20,6,Doctor,Medium,Best,Excellent,Executive
29,Yes,Travel_Rarely,Research & Development,3,Human Resources,Female,1,Laboratory Technician,3,Married,10750,No,3,26,3,1,22,16,Bachelor,High,Bad,Excellent,Junior
33,No,Travel_Rarely,Sales,1,Other,Male,3,Manager,3,Married,16670,Yes,4,32,6,1,5,5,Below College,High,Bad,Outstanding,Senior
27,No,Travel_Rarely,Human Resources,4,Medical,Male,5,Human Resources,3,Married,17600,No,3,28,3,3,12,11,Master,High,Better,Excellent,Executive
42,No,Travel_Rarely,Research & Development,3,Marketing,Female,5,Research Director,1,Divorced,19127,No,3,22,0,2,22,12,Bachelor,Low,Good,Excellent,Executive
37,Yes,Travel_Rarely,Sales,5,Technical Degree,Male,1,Sales Executive,4,Divorced,12608,Yes,3,32,5,2,8,8,Doctor,Very High,Good,Excellent,Junior
48,No,Travel_Rarely,Sales,3,Life Sciences,Male,1,Sales Executive,1,Divorced,10366,Yes,3,18,2,4,16,6,Bachelor,Low,Best,Excellent,Junior
21,Yes,Travel_Rarely,Research & Development,4,Other,Male,1,Laboratory Technician,3,Single,11825,No,3,20,5,2,1,1,Master,High,Good,Excellent,Junior
40,No,Travel_Rarely,Research & Development,3,Technical Degree,Female,3,Research Scientist,4,Single,14726,Yes,3,20,5,2,18,0,Bachelor,Very High,Good,Excellent,Senior
19,No,Travel_Frequently,Research & Development,5,Life Sciences,Male,5,Research Director,1,Single,20000,Yes,3,24,1,2,18,16,Doctor,Low,Good,Excellent,Executive
39,No,Travel_Rarely,Research & Development,1,Marketing,Female,2,Research Scientist,1,Married,11928,Yes,3,22,0,2,6,3,Below College,Low,Good,Excellent,Mid
54,No,Travel_Rarely,Sales,5,Medical,Male,2,Manager,1,Single,11497,No,3,19,2,2,19,4,Doctor,Low,Good,Excellent,Mid
25,Yes,Travel_Rarely,Research & Development,1,Marketing,Male,5,Research Director,3,Married,20000,No,3,32,3,2,8,8,Below College,High,Good,Excellent,Executive
24,No,Non-Travel,Sales,2,Other,Female,5,Sales Executive,2,Married,18816,Yes,3,19,5,2,16,6,College,Medium,Good,Excellent,Executive
31,No,Travel_Rarely,Human Resources,5,Medical,Female,5,Human Resources,4,Married,17076,No,3,26,1,4,26,9,Doctor,Very High,Best,Excellent,Executive
20,No,Travel_Rarely,Research & Development,5,Human Resources,Female,5,Research Scientist,3,Married,19827,No,3,25,5,1,1,1,Doctor,High,Bad,Excellent,Executive
33,No,Travel_Rarely,Sales,4,Life Sciences,Female,3,Sales Executive,4,Divorced,17812,Yes,3,39,4,2,35,6,Master,Very High,Good,Excellent,Senior
36,No,Travel_Rarely,Sales,3,Human Resources,Female,2,Sales Representative,3,Single,10888,Yes,3,18,3,1,18,0,Bachelor,High,Bad,Excellent,Mid
35,No,Travel_Rarely,Sales,1,Medical,Male,4,Sales Executive,1,Single,18972,No,3,31,5,3,16,6,Below College,Low,Better,Excellent,Lead
33,No,Travel_Frequently,Sales,1,Life Sciences,Male,2,Sales Representative,1,Divorced,12392,No,3,32,4,1,4,4,Below College,Low,Bad,Excellent,Mid
25,No,Travel_Rarely,Research & Development,4,Life Sciences,Female,2,Research Director,2,Married,13152,No,3,38,4,3,38,8,Master,Medium,Better,Excellent,Mid
50,No,Non-Travel,Research & Development,4,Human Resources,Male,1,Laboratory Technician,2,Married,11594,No,3,17,1,4,17,11,Master,Medium,Best,Excellent,Junior
29,No,Travel_Rarely,Human Resources,3,Life Sciences,Female,5,Manager,4,Single,16210,No,3,14,1,1,6,2,Bachelor,Very High,Bad,Excellent,Executive
28,Yes,Travel_Rarely,Research & Development,3,Medical,Female,5,Research Director,2,Single,18779,Yes,3,16,4,3,16,3,Bachelor,Medium,Better,Excellent,Executive
22,No,Travel_Rarely,Sales,5,Other,Male,5,Sales Representative,2,Married,19000,No,3,38,0,1,38,3,Doctor,Medium,Bad,Excellent,Executive
44,Yes,Travel_Rarely,Research & Development,2,Other,Male,1,Laboratory Technician,4,Divorced,12778,No,3,35,5,4,35,12,College,Very High,Best,Excellent,Junior
29,No,Travel_Rarely,Research & Development,3,Medical,Female,3,Research Director,3,Divorced,17677,No,3,39,4,1,39,18,Bachelor,High,Bad,Excellent,Senior
34,No,Travel_Rarely,Research & Development,4,Human Resources,Male,3,Laboratory Technician,2,Married,15768,No,4,17,4,3,3,3,Master,Medium,Better,Outstanding,Senior
23,No,Travel_Rarely,Research & Development,3,Marketing,Female,4,Research Director,3,Married,19252,Yes,3,37,1,2,37,4,Bachelor,High,Good,Excellent,Lead
50,No,Travel_Frequently,Research & Development,1,Medical,Male,3,Research Scientist,1,Divorced,17638,No,3,34,5,2,24,6,Below College,Low,Good,Excellent,Senior
22,No,Travel_Rarely,Research & Development,2,Other,Female,3,Research Director,2,Married,13571,No,3,21,2,2,4,4,College,Medium,Good,Excellent,Senior
45,Yes,Travel_Frequently,Research & Development,5,Medical,Male,5,Laboratory Technician,1,Married,20000,No,3,33,3,4,29,0,Doctor,Low,Best,Excellent,Executive
31,No,Travel_Rarely,Sales,1,Life Sciences,Female,2,Sales Executive,1,Divorced,10217,Yes,3,11,1,2,11,11,Below College,Low,Good,Excellent,Mid
22,No,Travel_Rarely,Sales,1,Life Sciences,Male,3,Sales Representative,3,Divorced,14636,No,4,17,5,4,3,1,Below College,High,Best,Outstanding,Senior
50,No,Travel_Rarely,Sales,2,Medical,Male,3,Sales Executive,4,Divorced,14731,Yes,3,25,5,2,23,6,College,Very High,Good,Excellent,Senior
58,No,Travel_Frequently,Research & Development,5,Human Resources,Male,1,Research Director,2,Single,12551,Yes,4,28,6,4,28,10,Doctor,Medium,Best,Outstanding,Junior
36,No,Travel_Rarely,Sales,4,Marketing,Female,4,Sales Executive,3,Married,16206,Yes,3,32,0,4,8,8,Master,High,Best,Excellent,Lead
39,No,Travel_Rarely,Research & Development,5,Life Sciences,Female,1,Research Scientist,4,Divorced,10042,No,3,13,3,1,3,1,Doctor,Very High,Bad,Excellent,Junior
22,Yes,Travel_Rarely,Human Resources,3,Other,Male,5,Human Resources,1,Single,17600,Yes,3,30,1,2,23,6,Bachelor,Low,Good,Excellent,Executive
19,No,Travel_Rarely,Sales,1,Life Sciences,Male,2,Sales Representative,2,Divorced,10696,No,3,13,1,1,13,13,Below College,Medium,Bad,Excellent,Mid
47,No,Travel_Rarely,Research & Development,3,Other,Male,4,Research Scientist,1,Single,19223,Yes,3,23,2,3,4,4,Bachelor,Low,Better,Excellent,Lead
56,No,Travel_Rarely,Research & Development,4,Marketing,Female,1,Research Director,1,Divorced,8746,Yes,3,20,6,2,17,1,Master,Low,Good,Excellent,Junior
21,No,Travel_Rarely,Sales,3,Life Sciences,Female,3,Manager,2,Married,12996,No,3,18,6,2,18,6,Bachelor,Medium,Good,Excellent,Senior
50,No,Non-Travel,Sales,5,Human Resources,Male,3,Manager,4,Single,16949,Yes,3,31,0,2,11,3,Doctor,Very High,Good,Excellent,Senior
30,No,Travel_Rarely,Sales,3,Other,Male,4,Sales Executive,4,Married,18403,No,3,30,6,2,17,10,Bachelor,Very High,Good,Excellent,Lead
37,No,Travel_Rarely,Sales,4,Life Sciences,Male,3,Manager,2,Married,16540,No,3,33,0,1,16,1,Master,Medium,Bad,Excellent,Senior
24,No,Travel_Rarely,Human Resources,4,Life Sciences,Male,1,Manager,2,Married,10280,No,3,29,5,1,29,15,Master,Medium,Bad,Excellent,Junior
32,No,Travel_Rarely,Research & Development,4,Medical,Male,1,Laboratory Technician,3,Married,11726,No,3,24,5,4,23,6,Master,High,Best,Excellent,Junior
40,No,Travel_Rarely,Research & Development,5,Human Resources,Female,3,Research Director,3,Divorced,12625,No,3,10,1,1,10,10,Doctor,High,Bad,Excellent,Senior
31,No,Travel_Rarely,Human Resources,4,Human Resources,Male,3,Manager,1,Married,15954,No,3,34,2,4,34,4,Master,Low,Best,Excellent,Senior
40,No,Travel_Rarely,Research & Development,1,Medical,Female,5,Healthcare Representative,2,Married,17797,Yes,3,22,1,3,22,16,Below College,Medium,Better,Excellent,Executive
36,No,Travel_Rarely,Sales,4,Other,Male,2,Sales Executive,4,Single,11790,No,3,16,6,1,16,11,Master,Very High,Bad,Excellent,Mid
46,No,Travel_Rarely,Human Resources,3,Technical Degree,Male,4,Manager,1,Divorced,15143,No,3,13,4,4,0,0,Bachelor,Low,Best,Excellent,Lead
37,No,Non-Travel,Research & Development,3,Marketing,Female,1,Research Director,1,Single,8922,Yes,4,14,5,2,14,6,Bachelor,Low,Good,Outstanding,Junior
46,Yes,Travel_Rarely,Research & Development,3,Human Resources,Female,4,Healthcare Representative,1,Married,19628,Yes,3,31,4,3,31,5,Bachelor,Low,Better,Excellent,Lead
41,No,Travel_Rarely,Human Resources,5,Technical Degree,Female,5,Manager,1,Divorced,16062,Yes,3,8,6,4,8,7,Doctor,Low,Best,Excellent,Executive
35,No,Travel_Rarely,Sales,3,Other,Male,1,Sales Executive,4,Single,11863,No,3,27,2,3,14,12,Bachelor,Very High,Better,Excellent,Junior
27,No,Non-Travel,Sales,5,Marketing,Male,5,Sales Executive,1,Married,19000,No,4,37,1,2,27,4,Doctor,Low,Good,Outstanding,Executive
58,Yes,Travel_Frequently,Sales,5,Human Resources,Female,5,Manager,2,Single,17347,No,3,23,5,2,23,1,Doctor,Medium,Good,Excellent,Executive
25,No,Travel_Rarely,Research & Development,4,Life Sciences,Male,3,Healthcare Representative,3,Married,16820,No,3,35,2,4,34,8,Master,High,Best,Excellent,Senior
43,No,Travel_Rarely,Research & Development,1,Human Resources,Male,4,Laboratory Technician,4,Married,17656,No,4,21,1,4,21,10,Below College,Very High,Best,Outstanding,Lead
46,No,Travel_Rarely,Human Resources,4,Marketing,Male,4,Manager,2,Divorced,17172,No,4,26,1,2,26,5,Master,Medium,Good,Outstanding,Lead
27,No,Travel_Rarely,Sales,4,Technical Degree,Male,3,Sales Representative,2,Divorced,15259,Yes,4,18,4,4,18,6,Master,Medium,Best,Outstanding,Senior
34,No,Travel_Rarely,Research & Development,5,Life Sciences,Female,4,Research Director,2,Married,17628,No,3,25,3,2,11,6,Doctor,Medium,Good,Excellent,Lead
19,No,Travel_Rarely,Research & Development,5,Marketing,Male,3,Research Scientist,3,Married,17300,No,3,24,6,1,19,18,Doctor,High,Bad,Excellent,Senior
23,No,Travel_Rarely,Sales,3,Other,Male,1,Manager,3,Married,9366,No,3,9,0,4,0,0,Bachelor,High,Best,Excellent,Junior
22,Yes,Travel_Rarely,Sales,3,Marketing,Male,5,Sales Executive,3,Married,18896,No,3,20,5,3,20,10,Bachelor,High,Better,Excellent,Executive
45,No,Travel_Rarely,Sales,4,Human Resources,Male,5,Sales Executive,2,Married,18596,No,3,11,0,2,0,0,Master,Medium,Good,Excellent,Executive
58,No,Travel_Rarely,Human Resources,2,Other,Male,4,Manager,3,Divorced,13508,Yes,3,9,2,1,9,6,College,High,Bad,Excellent,Lead
22,No,Travel_Rarely,Sales,2,Medical,Male,2,Sales Executive,1,Married,14042,No,3,31,0,4,31,1,College,Low,Best,Excellent,Mid
35,No,Travel_Rarely,Research & Development,3,Medical,Male,5,Laboratory Technician,3,Single,20000,No,3,38,4,2,38,18,Bachelor,High,Good,Excellent,Executive
43,No,Travel_Rarely,Research & Development,2,Life Sciences,Female,3,Laboratory Technician,4,Married,15945,No,3,39,3,1,21,3,College,Very High,Bad,Excellent,Senior
37,No,Travel_Frequently,Research & Development,3,Marketing,Male,2,Healthcare Representative,2,Married,15450,Yes,3,32,5,4,17,5,Bachelor,Medium,Best,Excellent,Mid
58,No,Non-Travel,Human Resources,5,Technical Degree,Male,2,Human Resources,2,Single,14246,Yes,3,31,6,2,31,16,Doctor,Medium,Good,Excellent,Mid
44,No,Travel_Rarely,Human Resources,4,Life Sciences,Female,5,Manager,1,Married,16095,No,3,26,1,2,26,4,Master,Low,Good,Excellent,Executive
29,Yes,Travel_Rarely,Sales,1,Other,Female,5,Sales Executive,3,Married,18667,Yes,3,30,1,2,27,6,Below College,High,Good,Excellent,Executive
24,No,Travel_Rarely,Research & Development,4,Life Sciences,Male,5,Healthcare Representative,3,Married,20000,Yes,3,17,6,4,17,8,Master,High,Best,Excellent,Executive
20,No,Travel_Rarely,Sales,3,Human Resources,Male,3,Sales Executive,4,Married,17673,No,4,38,4,1,38,0,Bachelor,Very High,Bad,Outstanding,Senior
27,No,Travel_Rarely,Sales,3,Other,Male,2,Manager,1,Married,14142,No,3,34,5,2,28,0,Bachelor,Low,Good,Excellent,Mid
51,No,Non-Travel,Sales,4,Technical Degree,Female,4,Sales Executive,4,Divorced,15911,No,3,17,0,1,17,17,Master,Very High,Bad,Excellent,Lead
42,No,Travel_Rarely,Research & Development,3,Marketing,Female,3,Research Director,4,Divorced,14423,No,3,20,6,1,7,5,Bachelor,Very High,Bad,Excellent,Senior
52,No,Non-Travel,Research & Development,2,Other,Female,1,Healthcare Representative,2,Married,10556,No,3,30,1,3,30,17,College,Medium,Better,Excellent,Junior
33,No,Travel_Rarely,Sales,2,Marketing,Male,5,Manager,2,Single,19000,Yes,3,37,0,1,33,9,College,Medium,Bad,Excellent,Executive
19,No,Non-Travel,Sales,3,Marketing,Female,2,Sales Executive,3,Divorced,9253,No,3,8,4,1,6,6,Bachelor,High,Bad,Excellent,Mid
41,No,Non-Travel,Human Resources,3,Life Sciences,Male,3,Manager,3,Married,14214,No,3,35,1,1,35,0,Bachelor,High,Bad,Excellent,Senior
27,No,Non-Travel,Sales,2,Human Resources,Male,1,Sales Representative,4,Married,9116,No,4,17,2,1,17,0,College,Very High,Bad,Outstanding,Junior
55,No,Travel_Rarely,Sales,3,Life Sciences,Male,3,Sales Executive,3,Single,18192,No,3,37,3,1,37,12,Bachelor,High,Bad,Excellent,Senior
39,No,Travel_Rarely,Research & Development,3,Medical,Female,3,Research Scientist,4,Single,11987,No,3,8,0,4,8,4,Bachelor,Very High,Best,Excellent,Senior
43,No,Travel_Frequently,Human Resources,4,Medical,Male,4,Manager,3,Single,17176,No,3,30,6,3,8,8,Master,High,Better,Excellent,Lead
56,No,Non-Travel,Sales,1,Marketing,Female,4,Manager,3,Single,15395,Yes,3,23,5,2,7,0,Below College,High,Good,Excellent,Lead
44,No,Travel_Rarely,Research & Development,2,Human Resources,Male,3,Laboratory Technician,2,Divorced,17989,No,3,34,0,3,34,19,College,Medium,Better,Excellent,Senior
46,No,Travel_Rarely,Research & Development,4,Other,Male,1,Research Director,2,Married,13313,No,3,29,0,3,17,2,Master,Medium,Better,Excellent,Junior
55,No,Travel_Rarely,Sales,1,Marketing,Male,2,Sales Executive,2,Married,13385,No,3,33,0,2,4,4,Below College,Medium,Good,Excellent,Mid
37,Yes,Travel_Rarely,Research & Development,3,Other,Male,2,Healthcare Representative,2,Divorced,15308,No,3,37,6,1,13,8,Bachelor,Medium,Bad,Excellent,Mid
44,No,Travel_Rarely,Research & Development,3,Marketing,Female,5,Research Director,1,Divorced,20000,Yes,3,27,4,2,27,13,Bachelor,Low,Good,Excellent,Executive
58,No,Travel_Rarely,Research & Development,4,Life Sciences,Male,5,Research Director,2,Divorced,20000,No,3,29,4,1,29,16,Master,Medium,Bad,Excellent,Executive
37,No,Travel_Rarely,Research & Development,3,Marketing,Female,2,Research Scientist,1,Divorced,12296,No,4,18,5,2,3,3,Bachelor,Low,Good,Outstanding,Mid
36,No,Non-Travel,Research & Development,5,Marketing,Female,3,Research Director,2,Married,18295,No,3,38,4,4,38,3,Doctor,Medium,Best,Excellent,Senior
37,Yes,Travel_Rarely,Sales,4,Human Resources,Female,3,Sales Executive,3,Divorced,14018,Yes,3,27,6,3,19,4,Master,High,Better,Excellent,Senior
52,No,Travel_Rarely,Research & Development,1,Human Resources,Male,4,Research Director,4,Married,19661,No,3,25,5,1,24,16,Below College,Very High,Bad,Excellent,Lead
19,No,Travel_Rarely,Sales,4,Other,Male,4,Sales Representative,3,Single,18179,No,4,27,5,3,27,1,Master,High,Better,Outstanding,Lead
47,No,Travel_Rarely,Sales,2,Human Resources,Male,5,Sales Executive,3,Married,19000,No,3,29,4,1,11,4,College,High,Bad,Excellent,Executive
51,Yes,Travel_Rarely,Sales,4,Marketing,Female,2,Sales Representative,1,Married,9429,No,3,2,1,2,1,1,Master,Low,Good,Excellent,Mid
39,No,Travel_Rarely,Research & Development,3,Human Resources,Female,3,Research Director,2,Divorced,16664,No,3,27,4,2,13,3,Bachelor,Medium,Good,Excellent,Senior
